Book,Concordance,Spell,Number of Records,Position,sort-order
1: SS,". they tugged and heaved at the door, but it wouldn’t budge, not even when hermione tried her alohomora charm, now what? said ron, these birds … they can’t be here just for decoration,",alohomora,1,82471,82471
1: SS,"oh, move over, hermione snarled, she grabbed Harry’s wand, tapped the lock, and whispered, alohomora! the lock clicked and the door swung open — they piled through it, shut it quickly,",alohomora,1,47346,47346
1: SS,"it on snape if he showed any sign of wanting to hurt Harry, now, don’t forget, it’s locomotormortis, hermione muttered as ron slipped his wand up his sleeve, i know, ron snapped, don’t",locomotormortis,1,65427,65427
1: SS,"forward, neville, she said, i’m really, really sorry about this, she raised her wand, petrificustotalus! she cried, pointing it at neville, neville’s arms snapped to his sides, his legs sprang",petrificustotalus,1,80541,80541
1: SS,", ron snarled, hermione rolled up the sleeves of her gown, flicked her wand, and said, wingardiumleviosa! their feather rose off the desk and hovered about four feet above their heads, oh, well",wingardiumleviosa,1,50714,50714
1: SS,"knowing what he was going to do he heard him­self cry the first spell that came into his head : wingardiumleviosa! the club flew suddenly out of the troll’s hand, rose high, high up into the air",wingardiumleviosa,1,52153,52153
1: SS,"put it out with his hat, ron, at the next table, wasn’t having much more luck, wingardiumleviosa! he shouted, waving his long arms like a windmill, you’re saying it wrong, Harry heard",wingardiumleviosa,1,50650,50650
2: CoS,"bag, it might be invisible ink! she whispered, she tapped the diary three times and said, aparecium! nothing happened, undaunted, hermione shoved her hand back into her bag and pulled out what appeared",aparecium,1,159862,159862
2: CoS,"think getting your head cut open makes you that special, myself, crabbe and goyle were sniggering stupidly, eatslugs, malfoy, said ron angrily, crabbe stopped laughing and started rubbing his knuckles in a menacing way",eatslugs,1,120026,120026
2: CoS,— both of them swung their wands above their heads and pointed them at their opponent; snape cried : expelliarmus! there was a dazzling flash of scarlet light and lockhart was blasted off his feet : he flew,expelliarmus,1,147120,147120
2: CoS,"as a school prefect — but Harry had lost his tem­per, he pulled out his wand and shouted, expelliarmus! and just as snape had disarmed lockhart, so malfoy found the diary shoot­ing out of his hand",expelliarmus,1,161634,161634
2: CoS,"book — Harry reached his wand just in time, lockhart had barely raised his, when Harry bellowed, expelliarmus! lockhart was blasted backward, falling over his trunk; his wand flew high into the air;",expelliarmus,1,179052,179052
2: CoS,"i put my wand to his throat — i then screwed up my remain­ing strength and performed the immensely complex homorphus charm — he let out a piteous moan — go on, Harry — higher than that — good",homorphus,1,138649,138649
2: CoS,"around at the dark, slimy walls, all three of them turned to stare into the darkness ahead, lumos! Harry muttered to his wand and it lit again, c’mon, he said to ron and lockhart",lumos,1,180201,180201
2: CoS,"forest, and lifted his leg against a large sycamore tree, Harry took out his wand, murmured, lumos! and a tiny light appeared at the end of it, just enough to let them watch the",lumos,1,171115,171115
2: CoS,"body — say good-bye to your memories! he raised ron’s spellotaped wand high over his head and yelled, obliviate! the wand exploded with the force of a small bomb, Harry flung his arms over his head",obliviate,1,180665,180665
2: CoS,"they’re only pixies, lockhart shouted, he rolled up his sleeves, brandished his wand, and bellowed, peskipiksipesternomi! it had absolutely no effect; one of the pixies seized his wand and threw it out of",peskipiksipesternomi,1,121548,121548
2: CoS,"to be working, and wasting no more time, Harry pointed his wand straight at malfoy and shouted, rictusempra! a jet of silver light hit malfoy in the stomach and he doubled up, wheezing, i",rictusempra,1,147634,147634
2: CoS,". three — two — one — go! he shouted, malfoy raised his wand quickly and bellowed, serpensortia! the end of his wand exploded, Harry watched, aghast, as a long black snake shot",serpensortia,1,148244,148244
2: CoS,"but this was a mis­take; gasping for breath, malfoy pointed his wand at Harry’s knees, choked, tarantallegra! and the next second Harry’s legs began to jerk around out of his control in a kind of",tarantallegra,1,147736,147736
3: PoA,", and she took out her wand, still gripping the back of Harry’s robes with her left hand, alohomora! the window sprang open, how — how —? said black weakly, staring at the hippogriff",alohomora,1,313864,313864
3: PoA,", and granger, minis­ter, … no! black had bewitched them, i saw it immediately, a confundus charm, to judge by their behavior, they seemed to think there was a possibility he was innocent",confundus,1,305584,305584
3: PoA,". the minuscule writing next to it read neville longbottom, Harry quickly pulled out his wand, muttered, dissendium! and shoved his bag into the statue, but before he could climb in himself, neville came",dissendium,1,273123,273123
3: PoA,"at the map, the tiniest speech bubble had appeared next to his figure, the word inside said, dissendium, dissendium! Harry whispered, tapping the stone witch again, at once, the statue’s hump opened",dissendium,1,248927,248927
3: PoA,"map, the tiniest speech bubble had appeared next to his figure, the word inside said, dissendium, dissendium! Harry whispered, tapping the stone witch again, at once, the statue’s hump opened wide enough",dissendium,1,248929,248929
3: PoA,"— he had seen himself — Harry flung himself out from behind the bush and pulled out his wand, expectopatronum! he yelled, and out of the end of his wand burst, not a shapeless cloud of",expectopatronum,1,312889,312889
3: PoA,". he forced himself to think of black, and only black, and began to chant : expectopatronum! expectopatronum! black gave a shudder, rolled over, and lay motionless on the ground, pale as death",expectopatronum,1,304740,304740
3: PoA,"a deep, rattling breath, a wave of piercing cold broke over him — expectopatronum! Harry yelled, expectopatronum! ex­pecto — but the classroom and the dementor were dissolving, … Harry was falling again through thick",expectopatronum,1,261988,261988
